"";"date";"price";"volume"
"970";"2010-11-05";24,014286;21994000
"971";"2010-11-08";24,161428;28799400
"972";"2010-11-09";24,351429;40275900
"973";"2010-11-10";25,267143;38518900
"974";"2010-11-11";25,02;29417500
"975";"2010-11-12";24,714287;29166900
"976";"2010-11-15";24,042856;31976700
"977";"2010-11-16";23,628571;27365800
"978";"2010-11-17";23,811428;18810400
"979";"2010-11-18";24,047144;17776500
"980";"2010-11-19";24,719999;22594600
"981";"2010-11-22";26,902857;71804600
"982";"2010-11-23";26,815714;47708500
"983";"2010-11-24";26,967142;28202300
"984";"2010-11-26";27,414286;21292600
"985";"2010-11-29";28,417143;49387800
"986";"2010-11-30";29,414286;83170500
"987";"2010-12-01";28,591429;74986800
"988";"2010-12-02";27,63143;59782800
"989";"2010-12-03";26,492857;62869800
"990";"2010-12-06";27,638571;47777100
"991";"2010-12-07";27,115713;49305200
"992";"2010-12-08";26,889999;73343900
"993";"2010-12-09";27,292856;47335400
"994";"2010-12-10";27,804285;47511800
"995";"2010-12-13";26,257143;50047200
"996";"2010-12-14";25,492857;63529900
"997";"2010-12-15";25,5;44511600
"998";"2010-12-16";25,950001;34080900
"999";"2010-12-17";25,717142;103407500
"1000";"2010-12-20";25,435715;32995900
"1001";"2010-12-21";26,605715;40583900
"1002";"2010-12-22";26,478571;29177400
"1003";"2010-12-23";26,36857;21014700
"1004";"2010-12-27";25,715714;26189100
"1005";"2010-12-28";26,238571;27215300
"1006";"2010-12-29";25,752857;19399100
"1007";"2010-12-30";25,685715;14743400
"1008";"2010-12-31";25,1;21562800
"1009";"2011-01-03";25,487143;39956000
"1010";"2011-01-04";25,91;44065700
"1011";"2011-01-05";25,675714;31799600
"1012";"2011-01-06";25,427143;31991400
"1013";"2011-01-07";25,614286;22155000
"1014";"2011-01-10";26,84;43674400
"1015";"2011-01-11";26,664286;32522700
"1016";"2011-01-12";26,985714;21098700
"1017";"2011-01-13";27,355715;29903300
"1018";"2011-01-14";27,354286;19575500
"1019";"2011-01-18";27,668571;18580800
"1020";"2011-01-19";27,267143;21740600
"1021";"2011-01-20";26,428572;38231200
"1022";"2011-01-21";26,012857;24908100
"1023";"2011-01-24";26,280001;26971700
"1024";"2011-01-25";26,677143;21464100
"1025";"2011-01-26";26,147142;59841600
"1026";"2011-01-27";30,124287;129042200
"1027";"2011-01-28";31,139999;62805400
"1028";"2011-01-31";30,582857;41064100
"1029";"2011-02-01";30,414286;28660800
"1030";"2011-02-02";30,18;33358500
"1031";"2011-02-03";30,212856;21245700
"1032";"2011-02-04";31,438572;44262400
"1033";"2011-02-07";31,145714;25432400
"1034";"2011-02-08";31,09;17367700
"1035";"2011-02-09";31,755714;28954100
"1036";"2011-02-10";31,885714;21756700
"1037";"2011-02-11";33,009998;46299400
"1038";"2011-02-14";35,364285;78523900
"1039";"2011-02-15";34,398571;48073900
"1040";"2011-02-16";33,959999;45555300
"1041";"2011-02-17";33,66143;39449200
"1042";"2011-02-18";33,644287;32113200
"1043";"2011-02-22";31,657143;55374200
"1044";"2011-02-23";30,171429;68933200
"1045";"2011-02-24";30,74;31628800
"1046";"2011-02-25";30,348572;29468600
"1047";"2011-02-28";29,524286;40524400
"1048";"2011-03-01";29,232857;39839100
"1049";"2011-03-02";29,175714;33028800
"1050";"2011-03-03";29,052856;35263200
"1051";"2011-03-04";30,102858;44178400
"1052";"2011-03-07";29,628571;37129400
"1053";"2011-03-08";27,921429;68000100
"1054";"2011-03-09";27,57;50239000
"1055";"2011-03-10";28,574286;69890100
"1056";"2011-03-11";29,219999;35978600
"1057";"2011-03-14";28,742857;29913800
"1058";"2011-03-15";31,015715;76736800
"1059";"2011-03-16";30,548571;59555300
"1060";"2011-03-17";30,557142;28709800
"1061";"2011-03-18";29,914286;38354400
"1062";"2011-03-21";30,405714;32550000
"1063";"2011-03-22";31,627144;46892300
"1064";"2011-03-23";32,722858;57878800
