"";"title";"Awards"
"744";"The Prime of Miss Jean Brodie";"1"
"745";"True Grit";"1"
"746";"Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein)";"1"
"747";"Cactus Flower";"1"
"748";"Czechoslovakia 1968";"1"
"749";"It's Tough to Be a Bird";"1"
"750";"Oliver!";"5 (1)"
"751";"The Lion in Winter";"3"
"752";"Romeo and Juliet";"2"
"753";"Funny Girl";"1"
"754";"2001: A Space Odyssey";"1"
"755";"Bullitt";"1"
"756";"The Producers";"1"
"757";"Rosemary's Baby";"1"
"758";"The Subject Was Roses";"1"
"759";"The Thomas Crown Affair";"1"
"760";"War and Peace (Voyna i mir)";"1"
"761";"Charly";"1"
"762";"Journey into Self";"1"
"763";"Robert Kennedy Remembered";"1"
"764";"Why Man Creates";"1"
"765";"Winnie the Pooh and the Blustery Day";"1"
"766";"Planet of the Apes";"0 (1)"
"767";"In the Heat of the Night";"5"
"768";"Camelot";"3"
"769";"Bonnie and Clyde";"2"
"770";"Guess Who's Coming to Dinner";"2"
"771";"Doctor Dolittle";"2"
"772";"The Graduate";"1"
"773";"Thoroughly Modern Millie";"1"
"774";"Cool Hand Luke";"1"
"775";"The Dirty Dozen";"1"
"776";"A Place to Stand";"1"
"777";"The Anderson Platoon (La Section Anderson)";"1"
"778";"The Box";"1"
"779";"Closely Watched Trains (Ostre sledované vlaky)";"1"
"780";"The Redwoods";"1"
"781";"A Man for All Seasons";"6"
"782";"Who's Afraid of Virginia Woolf?";"5"
"783";"Grand Prix";"3"
"784";"Fantastic Voyage";"2"
"785";"A Man and a Woman";"2"
"786";"Born Free";"2"
"787";"The Fortune Cookie";"1"
"788";"A Funny Thing Happened on the Way to the Forum";"1"
"789";"A Herb Alpert and the Tijuana Brass Double Feature";"1"
"790";"The War Game";"1"
"791";"Wild Wings";"1"
"792";"A Year Toward Tomorrow";"1"
"793";"The Sound of Music";"5"
"794";"Doctor Zhivago";"5"
"795";"Darling";"3"
"796";"Ship of Fools";"2"
"797";"Cat Ballou";"1"
"798";"The Great Race";"1"
"799";"A Patch of Blue";"1"
"800";"A Thousand Clowns";"1"
"801";"The Shop on Main Street (Obchod na korze)";"1"
"802";"The Sandpiper";"1"
"803";"The Eleanor Roosevelt Story";"1"
